city_code,wilaya,year,population
1,Adrar,1861,28017
2,Chlef,1861,87786
3,Laghouat,1861,27791
4,Oum El Bouaghi,1861,52007
5,Batna,1861,97775
6,Béjaïa,1861,90105
7,Biskra,1861,55434
8,Béchar,1861,23750
9,Blida,1861,90982
10,Bouira,1861,67864
11,Tamanrasset,1861,12168
12,Tébessa,1861,52864
13,Tlemcen,1861,91368
14,Tiaret,1861,74234
15,Tizi Ouzou,1861,120305
16,Algiers,1861,217954
17,Djelfa,1861,63315
18,Jijel,1861,60871
19,Sétif,1861,128826
20,Saïda,1861,30381
21,Skikda,1861,79957
22,Sidi Bel Abbès,1861,57349
23,Annaba,1861,58628
24,Guelma,1861,45633
25,Constantine,1861,85541
26,Médéa,1861,84029
27,Mostaganem,1861,65108
28,M'Sila,1861,78211
29,Mascara,1861,72687
30,Ouargla,1861,37027
31,Oran,1861,118390
32,El Bayadh,1861,20082
33,Illizi,1861,2544
34,Bordj Bou Arreridj,1861,55407
35,Boumerdès,1861,83544
36,El Tarf,1861,35753
37,Tindouf,1861,2110
38,Tissemsilt,1861,29387
39,El Oued,1861,49014
40,Khenchela,1861,31478
41,Souk Ahras,1861,38517
42,Tipaza,1861,79446
43,Mila,1861,66002
44,Aïn Defla,1861,69251
45,Naâma,1861,14575
46,Aïn Témouchent,1861,35058
47,Ghardaia,1861,27891
48,Relizane,1861,70395
1,Adrar,1862,28600
2,Chlef,1862,89614
3,Laghouat,1862,28369
4,Oum El Bouaghi,1862,53090
5,Batna,1862,99811
6,Béjaïa,1862,91981
7,Biskra,1862,56588
8,Béchar,1862,24245
9,Blida,1862,92876
10,Bouira,1862,69277
11,Tamanrasset,1862,12421
12,Tébessa,1862,53964
13,Tlemcen,1862,93271
14,Tiaret,1862,75780
15,Tizi Ouzou,1862,122810
16,Algiers,1862,222492
17,Djelfa,1862,64633
18,Jijel,1862,62139
19,Sétif,1862,131509
20,Saïda,1862,31014
21,Skikda,1862,81621
22,Sidi Bel Abbès,1862,58543
23,Annaba,1862,59849
24,Guelma,1862,46583
25,Constantine,1862,87322
26,Médéa,1862,85778
27,Mostaganem,1862,66464
28,M'Sila,1862,79840
29,Mascara,1862,74200
30,Ouargla,1862,37798
31,Oran,1862,120855
32,El Bayadh,1862,20500
33,Illizi,1862,2597
34,Bordj Bou Arreridj,1862,56560
35,Boumerdès,1862,85284
36,El Tarf,1862,36498
37,Tindouf,1862,2154
38,Tissemsilt,1862,29999
39,El Oued,1862,50035
40,Khenchela,1862,32134
41,Souk Ahras,1862,39319
42,Tipaza,1862,81100
43,Mila,1862,67376
44,Aïn Defla,1862,70693
45,Naâma,1862,14879
46,Aïn Témouchent,1862,35788
47,Ghardaia,1862,28471
48,Relizane,1862,71861
1,Adrar,1863,29183
2,Chlef,1863,91442
3,Laghouat,1863,28948
4,Oum El Bouaghi,1863,54172
5,Batna,1863,101847
6,Béjaïa,1863,93857
7,Biskra,1863,57742
8,Béchar,1863,24739
9,Blida,1863,94771
10,Bouira,1863,70690
11,Tamanrasset,1863,12675
12,Tébessa,1863,55065
13,Tlemcen,1863,95173
14,Tiaret,1863,77325
15,Tizi Ouzou,1863,125314
16,Algiers,1863,227030
17,Djelfa,1863,65952
18,Jijel,1863,63406
19,Sétif,1863,134191
20,Saïda,1863,31646
21,Skikda,1863,83286
22,Sidi Bel Abbès,1863,59737
23,Annaba,1863,61070
24,Guelma,1863,47533
25,Constantine,1863,89103
26,Médéa,1863,87528
27,Mostaganem,1863,67819
28,M'Sila,1863,81468
29,Mascara,1863,75714
30,Ouargla,1863,38569
31,Oran,1863,123320
32,El Bayadh,1863,20918
33,Illizi,1863,2649
34,Bordj Bou Arreridj,1863,57714
35,Boumerdès,1863,87023
36,El Tarf,1863,37242
37,Tindouf,1863,2198
38,Tissemsilt,1863,30611
39,El Oued,1863,51055
40,Khenchela,1863,32789
41,Souk Ahras,1863,40121
42,Tipaza,1863,82754
43,Mila,1863,68751
44,Aïn Defla,1863,72135
45,Naâma,1863,15182
46,Aïn Témouchent,1863,36518
47,Ghardaia,1863,29052
48,Relizane,1863,73327
1,Adrar,1864,29767
2,Chlef,1864,93270
3,Laghouat,1864,29527
4,Oum El Bouaghi,1864,55255
5,Batna,1864,103882
6,Béjaïa,1864,95733
7,Biskra,1864,58896
8,Béchar,1864,25234
9,Blida,1864,96665
10,Bouira,1864,72103
11,Tamanrasset,1864,12928
12,Tébessa,1864,56166
13,Tlemcen,1864,97076
14,Tiaret,1864,78871
15,Tizi Ouzou,1864,127819
16,Algiers,1864,231567
17,Djelfa,1864,67270
18,Jijel,1864,64673
19,Sétif,1864,136873
20,Saïda,1864,32279
21,Skikda,1864,84951
22,Sidi Bel Abbès,1864,60931
23,Annaba,1864,62290
24,Guelma,1864,48483
25,Constantine,1864,90884
26,Médéa,1864,89277
27,Mostaganem,1864,69175
28,M'Sila,1864,83096
29,Mascara,1864,77227
30,Ouargla,1864,39340
31,Oran,1864,125785
32,El Bayadh,1864,21336
33,Illizi,1864,2702
34,Bordj Bou Arreridj,1864,58868
35,Boumerdès,1864,88762
36,El Tarf,1864,37987
37,Tindouf,1864,2242
38,Tissemsilt,1864,31223
39,El Oued,1864,52076
40,Khenchela,1864,33444
41,Souk Ahras,1864,40923
42,Tipaza,1864,84408
43,Mila,1864,70125
44,Aïn Defla,1864,73577
45,Naâma,1864,15486
46,Aïn Témouchent,1864,37248
47,Ghardaia,1864,29633
48,Relizane,1864,74792
1,Adrar,1865,30350
2,Chlef,1865,95097
3,Laghouat,1865,30105
4,Oum El Bouaghi,1865,56338
5,Batna,1865,105918
6,Béjaïa,1865,97609
7,Biskra,1865,60050
8,Béchar,1865,25728
9,Blida,1865,98559
10,Bouira,1865,73516
11,Tamanrasset,1865,13181
12,Tébessa,1865,57266
13,Tlemcen,1865,98978
14,Tiaret,1865,80417
15,Tizi Ouzou,1865,130324
16,Algiers,1865,236105
17,Djelfa,1865,68588
18,Jijel,1865,65941
19,Sétif,1865,139555
20,Saïda,1865,32911
21,Skikda,1865,86616
22,Sidi Bel Abbès,1865,62125
23,Annaba,1865,63511
24,Guelma,1865,49433
25,Constantine,1865,92665
26,Médéa,1865,91027
27,Mostaganem,1865,70531
28,M'Sila,1865,84725
29,Mascara,1865,78741
30,Ouargla,1865,40111
31,Oran,1865,128250
32,El Bayadh,1865,21754
33,Illizi,1865,2755
34,Bordj Bou Arreridj,1865,60021
35,Boumerdès,1865,90502
36,El Tarf,1865,38731
37,Tindouf,1865,2285
38,Tissemsilt,1865,31834
39,El Oued,1865,53096
40,Khenchela,1865,34100
41,Souk Ahras,1865,41725
42,Tipaza,1865,86063
43,Mila,1865,71499
44,Aïn Defla,1865,75019
45,Naâma,1865,15789
46,Aïn Témouchent,1865,37978
47,Ghardaia,1865,30213
48,Relizane,1865,76258
1,Adrar,1866,30933
2,Chlef,1866,96925
3,Laghouat,1866,30684
4,Oum El Bouaghi,1866,57421
5,Batna,1866,107954
6,Béjaïa,1866,99485
7,Biskra,1866,61205
8,Béchar,1866,26223
9,Blida,1866,100454
10,Bouira,1866,74929
11,Tamanrasset,1866,13435
12,Tébessa,1866,58367
13,Tlemcen,1866,100880
14,Tiaret,1866,81962
15,Tizi Ouzou,1866,132829
